barcode,name_en,name_ar,category,price,stock_quantity,is_active
6222035228288,"Big Chips Kettle Cooked Parmesan Cheese & Pesto Potato Chips - gluten free","Big Chips Kettle Cooked Parmesan جبنة & Pesto Potato Chips - Gluten Free","Chips & Snacks | Canned chips",20.00,100,active
6222035228264,"Big Chips Kettle Cooked Sour Cream & Onion Potato Chips - gluten free","Big Chips Kettle Cooked Sour Cream & Onion Potato Chips - Gluten Free","Chips & Snacks | Sour Cream Potato Chips",20.00,100,active
6221007034933,"Bonjorno Coffee Mix 2in1 Instant Coffee Sachet","Bonjorno Coffee Mix 2in1 Instant Coffee Sachet","Instant Coffee",8.00,100,active
6221007034940,"Bonjorno Coffee Mix 2in1 Instant Coffee Sachets","Bonjorno Coffee Mix 2in1 Instant Coffee Sachets","Instant Coffee",96.00,100,active
19766300217,"Bordon Corned Beef","Bordon Corned Beef","Others | Needs Review",190.00,100,active
4607065737849,"Bounty Milk Chocolate Bar Filled with Coconut","Bounty لبن Chocolate Bar Filled With Coconut","Chips & Snacks | Milk Chocolate Bars",25.00,100,active
6221134014532,"Bounty Milk Chocolate Bar Filled with Coconut","Bounty لبن Chocolate Bar Filled With Coconut","Chips & Snacks | Milk Chocolate Bars",25.00,100,active
4011100023925,"Bounty Miniatures Milk Chocolate Bars Filled with Coconut (14 Pieces)","Bounty Miniatures لبن Chocolate Bars Filled With Coconut (14 Pieces)","Chips & Snacks | Milk Chocolate Bars",220.00,99,active
5000159473279,"Bounty Minis Milk Chocolate Bars Filled with Coconut (7 Pieces)","Bounty Minis لبن Chocolate Bars Filled With Coconut (7 Pieces)","Chips & Snacks | Milk Chocolate Bars",275.00,100,active
7622210077691,"Cadbury Dairy Milk Bubbly Chocolate Slab","Cadbury Dairy لبن Bubbly Chocolate Slab","Chips & Snacks | Chocolate Bars",95.00,100,active
7622202294242,"Cadbury Dairy Milk Chocolate Bar with Cream & Nut Delight","Cadbury Dairy لبن Chocolate Bar With Cream & Nut Delight","Chips & Snacks | Milk Chocolate Bars",35.00,100,active
32894010247,"California Garden Cooked Chickpeas - gluten free, artificial flavors free, no added sugar","California Garden Cooked Chickpeas - Gluten Free, Artificial Flavors Free, No Added Sugar","Others | Needs Review",45.00,100,active
6222027800119,"California Garden Hommos Tahina Dip - artificial flavors free","California Garden Hommos Tahina Dip - Artificial Flavors Free","Others | Needs Review",45.00,100,active
6223000460016,"California Garden Mixed Salad - artificial flavors free, gluten free","California Garden Mixed Salad - Artificial Flavors Free, Gluten Free","Vegetables & Fruits | Salad Greens & Lettuce",69.00,100,active
6221155135698,"Camay Paris Classique Soap Bar Romantic Scent","Camay Paris Classique Soap Bar Romantic Scent","Personal Care | Bar Soaps & Body Wash",22.00,100,active
6221155135636,"Camay Paris Dynamique Soap Bar Pink Grapefruit Scent","Camay Paris Dynamique Soap Bar Pink Grapefruit Scent","Personal Care | Bar Soaps & Body Wash",20.00,100,active
6221155048165,"Camay Paris Sophistique Soap Bar White Jasmine Scent","Camay Paris Sophistique Soap Bar White Jasmine Scent","Personal Care | Bar Soaps & Body Wash",30.00,100,active
7622210228956,"Chiclets Gum Spearmint Flavor","Chiclets Gum Spearmint Flavor","chocolates & candies | Chewing Gum & Mints",12.00,100,active
7622210228901,"Chiclets Gum Strawberry Flavor","Chiclets Gum Strawberry Flavor","chocolates & candies | Chewing Gum & Mints",12.00,100,active
49814521,"Chupa Chups Lollipop Lemon Flavor","Chupa Chups Lollipop Lemon Flavor","chocolates & candies | Lollipops",15.00,100,active
6921211114482,"Chupa Chups Skull Lollipop Lemon Flavor","Chupa Chups Skull Lollipop Lemon Flavor","chocolates & candies | Lollipops",40.00,100,active
8901393019377,"Chupa Chups Sour Belt Cola Flavor - vegetarian","Chupa Chups Sour Belt Cola Flavor - Vegetarian","chocolates & candies | Lollipops",15.00,100,active
8901393016635,"Chupa Chups Sour Belt Raw Mango Flavor - vegetarian","Chupa Chups Sour Belt Raw Mango Flavor - Vegetarian","chocolates & candies | Lollipops",15.00,100,active
8901393017212,"Chupa Chups Sour Belt Strawberry Flavor - vegetarian","Chupa Chups Sour Belt Strawberry Flavor - Vegetarian","chocolates & candies | Lollipops",15.00,100,active
7622201430573,"Clorets Chewing Gum Cinnamint Flavor","Clorets Chewing Gum Cinnamint Flavor","chocolates & candies | Chewing Gum & Mints",17.00,100,active
7622210966674,"Clorets Chewing Gum Lemon Mint flavor","Clorets Chewing Gum Lemon Mint Flavor","chocolates & candies | Chewing Gum & Mints",17.00,100,active
7622201430498,"Clorets Chewing Gum Original Mint Flavor","Clorets Chewing Gum Original Mint Flavor","chocolates & candies | Chewing Gum & Mints",17.00,100,active
6221155110718,"Closeup Ever Fresh Red Hot Toothpaste with Triple Formula (15% Off)","Closeup Ever طازج Red Hot Toothpaste With Triple Formula (15% Off)","Personal Care | Oral Care",40.00,100,active
6221155110695,"Closeup Everfresh Menthol Toothpaste with Triple Formula (15% Off)","Closeup everطازج Menthol Toothpaste With Triple Formula (15% Off)","Personal Care | Oral Care",40.00,100,active
6221155110671,"Closeup Triple Fresh Antibacterial Red Hot Toothpaste (15% Off)","Closeup Triple طازج Antibacterial Red Hot Toothpaste (15% Off)","Personal Care | Oral Care",70.00,100,active
6221155110664,"Closeup Triple Fresh Antibacterial Toothpaste Menthol Flavor (15% Off)","Closeup Triple طازج Antibacterial Toothpaste Menthol Flavor (15% Off)","Personal Care | Oral Care",70.00,100,active
6221155155887,"Comfort Ultimate Care Liquid Fabric Softener Flora Soft Scent (-9 EGP)","Comfort Ultimate Care Liquid Fabric Softener Flora Soft Scent (-9 Egp)","Beverages | Still Water",130.00,100,active
6221155155900,"Comfort Ultimate Care Liquid Fabric Softener Spring Dew Scent (-9 EGP)","Comfort Ultimate Care Liquid Fabric Softener Spring Dew Scent (-9 Egp)","Others | Needs Review",130.00,100,active
6221333006208,"Crunchy Kebda Eskandrany Potato Chips","Crunchy Kebda Eskandrany Potato Chips","Chips & Snacks | Flavored Potato Chips",12.00,100,active
6221333006215,"Crunchy Shawarma Lahma Potato Chips","Crunchy Shawarma Lahma Potato Chips","Chips & Snacks | Flavored Potato Chips",19.00,100,active
6221031003738,"Crunchy Spicy Hot Sausage Potato Chips","Crunchy Spicy Hot Sausage Potato Chips","Chips & Snacks | Flavored Potato Chips",12.00,100,active
6223002381531,"Danette Caramel Pudding","Danette Caramel Pudding","Dairy & Eggs | Pudding",10.00,100,active
6223002380152,"Danette Chocolate Pudding","Danette Chocolate Pudding","Beverages | Cola Regular",15.00,100,active
6221333005690,"Doritos Smoky BBQ Tortilla Chips - preservatives free","Doritos Smoky Bbq Tortilla Chips - Preservatives Free","Chips & Snacks | Corn Chips",12.00,100,active
6221155152244,"Dove Care & Protect Moisturizing Liquid Hand Wash (-12 EGP) - animal cruelty free","Dove Care & Protect Moisturizing Liquid Hand Wash (-12 Egp) - Animal Cruelty Free","Personal Care | Bar Soaps & Body Wash",110.00,100,active
6221155152237,"Dove Care & Protect Refreshing Liquid Hand Wash Cucumber & Green Tea Scent (-12 EGP) - cruelty free","Dove Care & Protect reطازجing Liquid Hand Wash Cucumber & أخضر Tea Scent (-12 Egp) - Cruelty Free","Beverages | Tea",110.00,100,active
6281006443631,"Dove Daily Care Conditioner with Pro-Moisture Complex for Normal to Dry Hair","Dove Daily Care Conditioner With Pro-Moisture Complex For Normal To Dry Hair","Personal Care | Bar Soaps & Body Wash",160.00,100,active
6221155152183,"Dove Deeply Nourishing Body Wash (-15 EGP) - SLES free, sulfate free","Dove Deeply Nourishing Body Wash (-15 Egp) - Sles Free, Sulfate Free","Personal Care | Bar Soaps & Body Wash",135.00,100,active
6221155135179,"Dove Hair Fall Rescue Hair Shampoo (-15 EGP) - cruelty free","Dove Hair Fall Rescue Hair Shampoo (-15 Egp) - Cruelty Free","Personal Care | Bar Soaps & Body Wash",145.00,100,active
6221155135148,"Dove Intensive Repair Hair Shampoo - cruelty free","Dove Intensive Repair Hair Shampoo - Cruelty Free","Personal Care | Bar Soaps & Body Wash",145.00,100,active
6221155135155,"Dove Nourishing Oil Care Shampoo for Dry & Frizzy Hair","Dove Nourishing Oil Care Shampoo For Dry & Frizzy Hair","Personal Care | Bar Soaps & Body Wash",145.00,100,active
6281006443655,"Dove Nutritive Solutions Anti-Hair Fall Conditioner with Trichazole Actives","Dove Nutritive Solutions Anti-Hair Fall Conditioner With Trichazole Actives","Personal Care | Bar Soaps & Body Wash",160.00,100,active
6221048035753,"Dove Pink Beauty Moisturizing Cream Soap Bar (-3 EGP)","Dove Pink Beauty Moisturizing Cream Soap Bar (-3 Egp)","Dairy & Eggs | Cream & Desserts",40.00,100,active
6221155160294,"Dove Relaxing Soap Bar Lavender Oil & Chamomile Scent with Moisturizing Cream - sulfate free","Dove Relaxing Soap Bar Lavender Oil & Chamomile Scent With Moisturizing Cream - Sulfate Free","Dairy & Eggs | Cream & Desserts",40.00,100,active
8700216311618,"Downy Fabric Conditioner Lavender & Musk Scent","Downy Fabric Conditioner Lavender & Musk Scent","Personal Care | Hair Care",290.00,100,active
5413149637924,"Downy Fabric Softener Valley Dew Scent","Downy Fabric Softener Valley Dew Scent","Others | Needs Review",140.00,100,active
6223001085416,"Dreem Cake Chef Baking Powder with Cake Improvers","Dreem Cake Chef Baking Powder With Cake Improvers",Baking,8.00,100,active
6223003942922,"Dreem Instant Dry Yeast","Dreem Instant Dry Yeast",Baking,10.00,100,active
6223003942717,"Dreem Whipped Topping with Chocolate Flavor","Dreem Whipped Topping With Chocolate Flavor","Cream & Desserts",35.00,100,active
6223001086017,"Dreem Whipping Cream Powder","Dreem Whipping Cream Powder","Cream & Desserts",25.00,100,active
6223003942618,"Dreem Whipping Topping Strawberry Flavor","Dreem Whipping Topping Strawberry Flavor","Cream & Desserts",35.00,100,active
80052357,"Duplo Chocolate Bar with Hazelnuts","Duplo Chocolate Bar With Hazelnuts","Chips & Snacks",45.00,99,active
6224000514549,"El Waha Sandwich Bags (32x20cm)","El Waha Sandwich Bags (32x20cm)","Others | Needs Review",25.00,100,active
6225000114821,"Fila El Zahar Rokak Bread","Fila El Zahar Rokak Bread","Bakery & Bread | Bread",49.00,100,active
6224008513094,"Flo Ramadan Edition Balanced Alkaline Water 600ml","Flo Ramadan Edition Balanced Alkaline Water 600ml","Still Water",15.00,100,active
6224010268135,"Funday Chocolate Muffin Cakes with Chocolate Chips","Funday Chocolate Muffin Cakes With Chocolate Chips","Beverages | Cola Regular",12.00,100,active
6224010268159,"Funday Muffin Cake with Vanilla & Chocolate Chips","Funday Muffin Cake With Vanilla & Chocolate Chips","Beverages | Cola Regular",12.00,100,active
6221134011845,"Galaxy Chocolate Bar with Hazelnut","Galaxy Chocolate Bar With Hazelnut","Chips & Snacks | Chocolate Bars with Nuts",100.00,100,active
6221134009613,"Galaxy Smooth Milk Chocolate Bar","Galaxy Smooth لبن Chocolate Bar","Chips & Snacks | Milk Chocolate Bars",20.00,100,active
6221143097588,"General Multipurpose Cleaning Liquid Fruits Scent","General Multipurpose Cleaning Liquid Fruits Scent","Others | Needs Review",59.00,100,active
6221143099445,"General Multipurpose Cleaning Liquid Lavender Scent","General Multipurpose Cleaning Liquid Lavender Scent","Others | Needs Review",180.00,100,active
6221143097502,"General Primavera Powerful Liquid Floor Cleaner","General Primavera Powerful Liquid Floor Cleaner","Beverages | Still Water",59.00,100,active
5206542007483,"Green Cola Carbonated Drink Sour Cherry Flavor with Stevia - vegetarian, no added sugar","أخضر Cola Carbonated Drink Sour Cherry Flavor With Stevia - Vegetarian, No Added Sugar","Beverages | Cola Regular",25.00,100,active
5206542006493,"Green Cola Carbonated Drink with Stevia - sugar free, preservatives free","أخضر Cola Carbonated Drink With Stevia - Sugar Free, Preservatives Free","Beverages | Cola Regular",25.00,100,active
7622201694869,"Halls Hard Candies Cherry Flavor (8 Pieces)","Halls Hard Candies Cherry Flavor (8 Pieces)","chocolates & candies | Chocolates",12.00,100,active
7622201695248,"Halls Hard Candies Menthol Flavor (8 Pieces)","Halls Hard Candies Menthol Flavor (8 Pieces)","chocolates & candies | Chocolates",12.00,100,active
8691216020672,"Haribo Berries Gummy Candies","Haribo Berries Gummy Candies","chocolates & candies | Jelly & Gummy Candies",65.00,100,active
8691216020627,"Haribo Goldbears Gummies Assorted Fruit Flavors","Haribo Goldbears Gummies Assorted Fruit Flavors","chocolates & candies | Chewing Gum & Mints",65.00,100,active
8691216080362,"Haribo Happy Cherries Gummy Candies - pork derivatives free","Haribo Happy Cherries Gummy Candies - Pork Derivatives Free","chocolates & candies | Jelly & Gummy Candies",65.00,100,active
8691216022027,"Haribo Starmix Gummies - artificial color free","Haribo Starmix Gummies - Artificial Color Free","chocolates & candies | Chewing Gum & Mints",65.00,100,active
8691216020689,"Haribo Worms Gummies - artificial color free","Haribo Worms Gummies - Artificial Color Free","chocolates & candies | Chewing Gum & Mints",65.00,100,active
6222035204848,"Jaguar Creations Cheese Balls","Jaguar Creations جبنة Balls","Chips & Snacks | Biscuits & Cookies",12.00,100,active
6222035204855,"Jaguar Creations Layers Sour Cream & Onion Corn Chips","Jaguar Creations Layers Sour Cream & Onion Corn Chips","Chips & Snacks | Corn Chips",12.00,100,active
6222035204862,"Jaguar Creations Lime Coriander Corn Cones","Jaguar Creations Lime Coriander Corn Cones","Chips & Snacks | Corn Chips",12.00,100,active
3073781087741,"Jibnet Abu Al Walad Cheese Triangles (8 Portions)","Jibnet Abu Al Walad جبنة Triangles (8 Portions)","Dairy & Eggs | Cheese",40.00,100,active
3073781087758,"Jibnet Abu Al Walad Cream Cheese Triangles (16 Portions)","Jibnet Abu Al Walad Cream جبنة Triangles (16 Portions)","Dairy & Eggs | Cream Cheese & Spreads",80.00,100,active
3574669908139,"Johnson's Baby Sleep Time Lotion","Johnson'S Baby Sleep Time Lotion","Others | Needs Review",145.00,100,active
3574669908030,"Johnson's Baby Soft Lotion with Coconut Oil - dye free, parabens free","Johnson'S Baby Soft Lotion With Coconut Oil - Dye Free, Parabens Free","Pantry Staples | Oils & Vinegars",145.00,100,active
6222014300134,"Juhayna Happy Kitchen Cooking Cream","Juhayna Happy Kitchen Cooking Cream","Dairy & Eggs | Cream & Desserts",165.00,100,active
6222014301216,"Juhayna Vanilla Pudding","Juhayna Vanilla Pudding","Dairy & Eggs | Pudding",15.00,100,active
3073781104325,"La Vache Qui Rit Cheddar Cheese (10 Slices)","La Vache Qui Rit شيدر جبنة (10 شرائح)","Dairy & Eggs | Cheddar Cheese",170.00,100,active
2781433,"Lettuce Iceberg","Lettuce Iceberg","Vegetables & Fruits | Salad Greens & Lettuce",25.00,100,active
5063305009166,"Lipton Pure Green Tea Bags","Lipton Pure أخضر Tea Bags","Beverages | Tea",75.00,100,active
6221048710537,"Lipton Yellow Label Kharaz Loose Black Tea","Lipton Yellow Label Kharaz Loose أسود Tea","Beverages | Tea",99.00,100,active
6221048720673,"Lipton Yellow Label Loose Black Tea","Lipton Yellow Label Loose أسود Tea","Beverages | Tea",35.00,100,active
6221048720697,"Lipton Yellow Label Loose Dust Black Tea","Lipton Yellow Label Loose Dust أسود Tea","Beverages | Tea",80.00,100,active
6221155135889,"Lux Dream Delight Soap Bar Jasmine Sambac & Orange Oil Scent","Lux Dream Delight Soap Bar Jasmine Sambac & Orange Oil Scent","Personal Care | Bar Soaps & Body Wash",29.00,100,active
6221155200945,"Lux Flaw-Less Skin Soap Bar Lily Scent with Vitamin C, E & Glycerine","Lux Flaw-Less Skin Soap Bar Lily Scent With Vitamin C, E & Glycerine","Personal Care | Bar Soaps & Body Wash",37.00,100,active
6221155201027,"Lux Glowing Skin Soap Bars Rose Scent with Glycerine, Vitamins C & E","Lux Glowing Skin Soap Bars Rose Scent With Glycerine, Vitamins C & E","Personal Care | Bar Soaps & Body Wash",23.00,100,active
6281006572003,"Lux Liquid Hand Wash Refreshing Verbena Scent with Glycerin","Lux Liquid Hand Wash reطازجing Verbena Scent With Glycerin","Personal Care | Bar Soaps & Body Wash",110.00,100,active
6281006483583,"Lux Liquid Hand Wash Velvet Jasmine Scent with Almond Oil","Lux Liquid Hand Wash Velvet Jasmine Scent With Almond Oil","Pantry Staples | Oils & Vinegars",115.00,100,active
6221155135872,"Lux Magical Beauty Soap Bar","Lux Magical Beauty Soap Bar","Personal Care | Bar Soaps & Body Wash",29.00,100,active
6281006479746,"Lux Magical Beauty Soap Bar with Black Orchids & Juniper Oils","Lux Magical Beauty Soap Bar With أسود Orchids & Juniper Oils","Personal Care | Bar Soaps & Body Wash",23.00,100,active
6221155200976,"Lux Magical Soap Bar Black Orchid Scent","Lux Magical Soap Bar أسود Orchid Scent","Personal Care | Bar Soaps & Body Wash",37.00,100,active
6222001180275,"Luxe Plain Biscuits with Cocoa","Luxe سادة Biscuits With Cocoa","Biscuits & Cookies | Plain Sweet Biscuits",5.00,100,active
6223000255360,"Mafa Onions Red","Mafa بصل Red","Vegetables & Fruits | Onions",40.00,100,active
5000159474573,"Mars Minis Chocolates (12 Pieces)","Mars Minis Chocolates (12 Pieces)","Chips & Snacks | Chocolate Bars",275.00,100,active
6222024101967,"McVitie's Digestive Nibbles Milk Chocolate Coated Biscuit Balls","Mcvitie'S Digestive Nibbles لبن Chocolate Coated Biscuit Balls","Biscuits & Cookies | Tea Biscuits",35.00,100,active
6222024103077,"McVitie's Hobnobs Oat Biscuits (2+1 Free) - alcohol free, lard free, pig derivatives free","Mcvitie'S Hobnobs Oat Biscuits (2+1 Free) - Alcohol Free, Lard Free, Pig Derivatives Free","Biscuits & Cookies | Oat Biscuits",120.00,100,active
6222024103060,"McVitie's Hobnobs Oat Biscuits (2+1 Free) - artificial colors free, artificial flavors free, hydrogenated fat free","Mcvitie'S Hobnobs Oat Biscuits (2+1 Free) - Artificial Colors Free, Artificial Flavors Free, Hydrogenated Fat Free","Biscuits & Cookies | Oat Biscuits",10.00,100,active
6222024101974,"McVitie's Nibbles Milk Chocolate Coated Biscuit Bites","Mcvitie'S Nibbles لبن Chocolate Coated Biscuit Bites","Biscuits & Cookies | Oat Biscuits",420.00,100,active
6222024105927,"McVitie's Nibbles White Chocolate Coated Biscuit Balls - pork derivatives free","Mcvitie'S Nibbles White Chocolate Coated Biscuit Balls - Pork Derivatives Free","Biscuits & Cookies | Oat Biscuits",35.00,100,active
5000396001730,"McVitie's Original Digestive Wheat Biscuits - hydrogenated vegetable oil free, artificial colors free, artificial flavors free","Mcvitie'S Original Digestive Wheat Biscuits - Hydrogenated Vegetable Oil Free, Artificial Colors Free, Artificial Flavors Free","Biscuits & Cookies | Tea Biscuits",85.00,100,active
6223003803568,"McVitie’s Digestive Milk Chocolate Coated Wheat Biscuits (2 Pieces)","Mcvitie’S Digestive لبن Chocolate Coated Wheat Biscuits (2 Pieces)","Biscuits & Cookies | Tea Biscuits",12.00,100,active
46214230208,"Merba Chocolate Brownie Cookies","Merba Chocolate بنيie Cookies","Biscuits & Cookies | Plain Sweet Biscuits",199.00,100,active
3045140280803,"Milka Arroz Inflado Chocolate Slab","لبنa Arroz Inflado Chocolate Slab","Beverages | Cola Regular",105.00,100,active
6221030003500,"Nawaem Soft Biscuits","Nawaem Soft Biscuits","Biscuits & Cookies | Plain Sweet Biscuits",84.00,100,active
6221030004392,"Nawaem Soft Biscuits","Nawaem Soft Biscuits","Biscuits & Cookies | Plain Sweet Biscuits",7.00,100,active
6221007043423,"Nesquik Chocolate Powder","Nesquik Chocolate Powder","Beverages | Cola Regular",80.00,100,active
6223001930501,"Nestle Pure Life Water 1.5L","Nestle Pure Life Water 1.5l","Beverages | Still Water",11.00,100,active
3574661332529,"Neutrogena Spot Controlling Facial Scrub - oil free","Neutrogena Spot Controlling Facial Scrub - Oil Free","Pantry Staples | Oils & Vinegars",245.00,100,active
6222001100358,"Nice Coconut Biscuits - preservatives agents free, artificial colors free","Nice Coconut Biscuits - Preservatives Agents Free, Artificial Colors Free","Biscuits & Cookies | Plain Sweet Biscuits",72.00,100,active
6221007040729,"Nido Fortified Rich in Fiber Full Cream Milk Powder","Nido Fortified Rich In Fiber Full Cream لبن Powder","Dairy & Eggs | Cream & Desserts",680.00,100,active
6221007040804,"Nido Fortified Rich in Fiber Full Cream Milk Powder","Nido Fortified Rich In Fiber Full Cream لبن Powder","Dairy & Eggs | Cream & Desserts",145.00,100,active
6221007043379,"Nido Fortified Rich in Fiber Full Cream Milk Powder (- 45 EGP)","Nido Fortified Rich In Fiber Full Cream لبن Powder (- 45 Egp)","Dairy & Eggs | Cream & Desserts",570.00,100,active
6222035224976,"Novy Blazo Chocolate Crisp & Caramel Coated Wafers Filled with Chocolate Cream","Novy Blazo Chocolate Crisp & Caramel Coated Wafers Filled With Chocolate Cream","Biscuits & Cookies | Chocolate Wafers",12.00,100,active
6222035224969,"Novy Blazo Gold Caramel & Chocolate Coated Crispy Wafer Rolls Filled with Chocolate","Novy Blazo Gold Caramel & Chocolate Coated Crispy Wafer Rolls Filled With Chocolate","Biscuits & Cookies | Chocolate Wafers",72.00,100,active
6222035243595,"Novy Torta Delights Chocolate Cake Rolls Filled with Vanilla","Novy Torta Delights Chocolate Cake Rolls Filled With Vanilla","Chips & Snacks | Snack Cakes",72.00,100,active
6222035239079,"Novy Torta Delights Chocolate Coated Cake Bar Filled with Chocolate Cream","Novy Torta Delights Chocolate Coated Cake Bar Filled With Chocolate Cream","Chips & Snacks | Snack Cakes",12.00,100,active
6222035239086,"Novy Torta Delights Chocolate Coated Cake Bars Filled with Chocolate Cream","Novy Torta Delights Chocolate Coated Cake Bars Filled With Chocolate Cream","Chips & Snacks | Snack Cakes",72.00,100,active
6222035243397,"Novy Waves Milk Chocolate Coated Wafer Filled with Chocolate Cream","Novy Waves لبن Chocolate Coated Wafer Filled With Chocolate Cream","Biscuits & Cookies | Chocolate Wafers",12.00,100,active
6222035243380,"Novy Waves Wafers Filled & Coated with Chocolate","Novy Waves Wafers Filled & Coated With Chocolate","Biscuits & Cookies | Chocolate Wafers",72.00,100,active
6223000500477,"Novy Waves White Chocolate Coated Wafer Filled with Vanilla Cream","Novy Waves White Chocolate Coated Wafer Filled With Vanilla Cream","Biscuits & Cookies | Chocolate Wafers",12.00,100,active
6223000500538,"Novy Waves White Chocolate Coated Wafers Filled with Vanilla Cream","Novy Waves White Chocolate Coated Wafers Filled With Vanilla Cream","Biscuits & Cookies | Chocolate Wafers",72.00,100,active
2375180000000,"Olives Green Slices","زيتون أخضر شرائح","Pantry Staples | Olives & Pickles",45.00,100,active
6223000556351,"Oniro Teabix Original Biscuits - hydrogenated fat free","Oniro Teabix Original Biscuits - Hydrogenated Fat Free","Biscuits & Cookies | Plain Sweet Biscuits",7.00,100,active
6223000557174,"Oniro Teabix Original Biscuits - hydrogenated fats free","Oniro Teabix Original Biscuits - Hydrogenated Fats Free","Biscuits & Cookies | Plain Sweet Biscuits",12.00,100,active
6291105369800,"Organic Tomatoes Cherry Local","Organic طماطم Cherry Local","Vegetables & Fruits | Tomatoes",130.00,100,active
6224000597917,"Power Aluminum Foil (20mx40cm)","Power Aluminum Foil (20mx40cm)","Pantry Staples | Oils & Vinegars",110.00,100,active
80052487,"Raffaello White Chocolate Bites (3 Pieces)","Raffaello White Chocolate Bites (3 Pieces)","Beverages | Cola Regular",57.00,98,active
6223003193249,"Razz Chocolate Pound Cake","Razz Chocolate Pound Cake","Beverages | Cola Regular",50.00,100,active
6224002278319,"Resta Pop Eyeball Print Jelly Candy","Resta Pop Eyeball Print Jelly Candy","chocolates & candies | Jelly & Gummy Candies",10.00,100,active
6221048407772,"Signal Cavity Fighter Toothpaste","Signal Cavity Fighter Toothpaste","Personal Care | Oral Care",20.00,100,active
6221048407796,"Signal Cavity Fighter Toothpaste","Signal Cavity Fighter Toothpaste","Personal Care | Oral Care",40.00,100,active
6221048407956,"Signal Cavity Fighter Toothpaste Fresh Mint Flavor","Signal Cavity Fighter Toothpaste طازج Mint Flavor","Personal Care | Oral Care",70.00,100,active
